product_id,views,purchases,conversion_rate(%),revenue
1801555,22102,498,2.25,228308.9
1005173,17459,356,2.04,227549.74
1004209,68217,2539,3.72,226463.32
3601489,29895,464,1.55,226296.8
1004566,43749,1367,3.12,226026.42
1307545,28476,879,3.09,224806.2
4100126,29220,636,2.18,220532.87
1307054,13630,164,1.2,220128.38
1305977,15759,86,0.55,218979.58
1004874,32171,609,1.89,218317.32
5100577,41362,749,1.81,217858.7
1005158,59985,745,1.24,216137.27
1801691,26307,441,1.68,216073.32
1801908,19018,257,1.35,215194.78
1307229,28188,242,0.86,214932.78
1005109,12406,220,1.77,214253.94
1002536,23825,362,1.52,212860.14
4803977,63299,1892,2.99,212755.11
1004229,9907,181,1.83,210808.07
5100816,168451,6725,3.99,210025.94
1004708,57989,1338,2.31,206269.74
3601405,39729,1140,2.87,205815.66
1004849,37558,219,0.58,203258.08
1801918,10303,138,1.34,203057.06
1004863,33685,1180,3.5,202411.79
1004225,16070,196,1.22,200135.48
1005284,34481,77,0.22,197311.73
3601437,38074,500,1.31,194053.68
1005067,9318,166,1.78,193273.51
1005101,35640,434,1.22,191727.48
1005008,83111,2025,2.44,189739.19
1801940,28068,817,2.91,186083.86
1307188,39518,829,2.1,185183.39
1005139,10991,92,0.84,184021.21
1005168,28694,893,3.11,182797.45
1005031,62599,1036,1.65,180997.73
1005099,43350,1326,3.06,180356.43
1801704,25409,426,1.68,178371.65
5100853,14425,337,2.34,176852.44
5100854,12518,306,2.44,176112.56
1004835,33266,757,2.28,176046.26
3601485,32411,562,1.73,175762.5
1802037,40370,589,1.46,175207.26
1802008,19478,255,1.31,172007.42
1005209,17952,380,2.12,171462.62
1801960,16886,518,3.07,171044.81
3701084,34097,388,1.14,170909.96
1004903,55111,1546,2.81,170340.52
26300084,20166,326,1.62,166318.68
3600163,39318,879,2.24,162576.58
1005015,32866,318,0.97,161169.75
3601448,20908,366,1.75,160950.55
5100576,13419,356,2.65,158973.79
1004720,49151,1252,2.55,157574.65
1005125,6980,82,1.17,155507.5
2601299,29143,345,1.18,152227.65
1004957,33173,456,1.37,152146.51
1801905,12305,149,1.21,151970.0
1002634,16310,383,2.35,150244.76
1802024,9134,58,0.63,149281.07
3601343,14021,341,2.43,149169.62
1005185,8615,201,2.33,148570.5
1005252,29505,491,1.66,148526.14
1002542,11511,298,2.59,147915.38
1005071,9644,143,1.48,147680.36
4804572,40932,700,1.71,146946.6
3601505,20789,291,1.4,145551.61
1005175,9878,219,2.22,140353.09
1307067,29934,538,1.8,138219.94
26300095,9515,218,2.29,135349.66
6000094,46286,1100,2.38,134795.35
1307051,8598,75,0.87,134323.37
1005236,25301,576,2.28,133984.33
1004961,29230,834,2.85,133833.75
2702331,17733,252,1.42,133503.51
1801904,17402,263,1.51,132650.84
1005263,25592,190,0.74,132119.34
1201504,32305,869,2.69,130741.25
26300189,26539,372,1.4,130609.2
1004255,15002,163,1.09,128801.83
1004243,15325,165,1.08,127441.87
1004655,18211,168,0.92,126678.14
1005123,4298,106,2.47,125733.8
1004749,29166,642,2.2,125507.54
1004794,38215,565,1.48,124899.88
1802026,14969,213,1.42,124343.12
1002535,7966,201,2.52,124337.78
3601522,29690,404,1.36,122587.99
1005062,38817,701,1.81,122477.87
5100689,10116,362,3.58,122224.34
1003305,9294,198,2.13,122148.6
3700766,35780,895,2.5,121716.68
3700926,61307,1764,2.88,121594.24
1307136,17012,235,1.38,120474.03
1002538,8153,202,2.48,119514.53
1307589,21506,473,2.2,119156.76
26300079,24711,347,1.4,119062.64
22700084,50799,484,0.95,118779.13
1304410,6102,83,1.36,118549.84
1306650,22792,275,1.21,118010.53
1307341,20069,191,0.95,117990.25
1005183,6181,117,1.89,117035.1
1802005,17103,256,1.5,116954.53
1801854,9998,116,1.16,116497.85
1307056,7242,86,1.19,116194.09
1307004,26329,390,1.48,115145.18
1005215,9356,79,0.84,115034.3
5000487,7873,93,1.18,114364.67
2702347,13512,212,1.57,114333.05
2201078,2813,51,1.81,114198.18
1004230,6121,98,1.6,113813.2
3601605,16771,326,1.94,112890.49
12703015,94959,2591,2.73,112617.12
1005211,20911,633,3.03,112191.79
5100343,9553,326,3.41,111926.62
3700779,29085,371,1.28,108622.48
1801971,11180,190,1.7,107930.86
1306951,6828,46,0.67,107653.94
1801995,26216,598,2.28,106860.52
1005110,6401,102,1.59,106754.5
1004840,25054,115,0.46,106424.9
1004709,31447,712,2.26,106409.0
3601250,20505,299,1.46,103829.88
15100009,46167,315,0.68,103825.27
1004158,18169,141,0.78,103709.63
4100277,9798,217,2.21,103701.8
1802022,15264,218,1.43,103324.76
1801551,11502,236,2.05,103264.28
1005108,5230,85,1.63,102759.6
1801631,17378,308,1.77,102691.0
1005178,5443,116,2.13,102210.68
1005069,24461,332,1.36,101897.87
1307582,13880,179,1.29,101185.48
3601537,14536,262,1.8,101152.96
1307058,6819,74,1.09,100345.36
1307350,12527,195,1.56,100336.21
1800931,18339,249,1.36,100328.68
1005165,33144,342,1.03,100045.14
2701683,24283,446,1.84,99945.59
1004848,19740,151,0.76,99588.6
1801909,11192,129,1.15,99014.69
2601260,18321,213,1.16,97639.27
4100151,14425,237,1.64,96614.45
2700598,18321,307,1.68,95878.74
1004886,32813,710,2.16,95790.4
5100719,31543,626,1.98,95602.75
26300078,26679,302,1.13,95462.2
1307571,10619,96,0.9,95279.69
1004235,6877,76,1.11,95166.16
1005216,6723,63,0.94,95124.02
1004956,22411,256,1.14,94912.81
1004661,8823,108,1.22,94537.21
1306359,16303,144,0.88,94159.57
1004993,19095,172,0.9,93148.52
2701646,18915,350,1.85,92914.42
3701222,17087,204,1.19,92580.97
5100338,11183,292,2.61,92260.25
4802036,43149,502,1.16,92053.27
1005171,17149,444,2.59,91217.08
2601936,14035,176,1.25,90913.11
1005187,7496,120,1.6,90676.56
1004795,28685,408,1.42,90327.59
1307539,21308,189,0.89,89949.21
1005002,25776,368,1.43,89520.13
1004888,21694,383,1.77,89481.35
1801915,10583,125,1.18,88049.14
1307236,17603,256,1.45,87868.54
1801689,17433,326,1.87,87287.64
5000475,20404,506,2.48,86962.19
1002796,10099,210,2.08,86661.76
3700580,22522,259,1.15,86075.16
26300190,14623,225,1.54,85716.0
1801873,10664,208,1.95,85584.84
1307135,21428,327,1.53,85529.85
26400194,37608,341,0.91,85406.86
1801874,9341,168,1.8,85267.55
3601438,20343,395,1.94,84384.34
5100564,23434,306,1.31,82880.58
3600937,16111,246,1.53,82311.6
1005120,4405,68,1.54,82170.02
1004356,4529,59,1.3,82041.67
15100350,30708,244,0.79,81978.7
1500258,12264,309,2.52,81514.46
1801975,9299,84,0.9,81376.4
1307032,9445,122,1.29,81234.22
1480494,15568,90,0.58,81007.65
1005006,33940,941,2.77,80597.93
4804295,112596,3162,2.81,80525.93
3700127,21320,411,1.93,80523.61
26300089,13185,293,2.22,79643.26
1005243,16412,176,1.07,79174.48
1004252,11234,99,0.88,78898.38
1005225,14965,444,2.97,78816.4
15100008,28198,155,0.55,78726.0
1802038,21536,433,2.01,78585.63
1801539,21608,176,0.81,78559.62
1480163,25887,124,0.48,78197.38
26300092,9161,181,1.98,78085.21
6000227,26782,489,1.83,77892.68
1201297,15617,204,1.31,77391.3
3600182,21761,623,2.86,77311.53
26300091,12061,183,1.52,76592.82
1004902,19007,135,0.71,76523.67
1003311,8375,99,1.18,76436.87
12600018,12501,197,1.58,75806.37
15100147,13349,172,1.29,75217.32
5301764,5393,108,2.0,75145.64
15100367,29113,150,0.52,74866.5
3601278,14390,194,1.35,74721.2
1005245,3522,100,2.84,74612.98
5100604,6641,232,3.49,74322.97
8500140,5879,130,2.21,74289.49
1005195,36866,687,1.86,73465.85
1200947,26291,699,2.66,73329.5
1480499,5645,30,0.53,73271.66
4100228,8566,132,1.54,73022.26
3600545,15647,126,0.81,72881.06
1004234,3323,64,1.93,72750.33
1003879,25258,127,0.5,72473.74
1005114,3812,60,1.57,72410.95
1004751,20135,371,1.84,72285.13
1801906,12343,283,2.29,72023.1
2701657,19305,302,1.56,71379.62
4100138,9218,163,1.77,71080.33
1003801,7168,107,1.49,70989.71
3601212,15867,178,1.12,70573.84
1002786,7015,173,2.47,69777.16
1201391,6462,44,0.68,69764.56
1005131,3321,37,1.11,69464.15
1307069,16139,132,0.82,69400.84
1004210,24951,769,3.08,68703.44
1307361,10177,158,1.55,68648.65
1004904,25711,639,2.49,68372.52
1005181,3646,68,1.87,68347.76
1005068,6209,67,1.08,68312.29
1005256,28373,513,1.81,68229.95
1201513,11211,89,0.79,68151.35
1802027,8585,133,1.55,68096.42
4700478,25617,483,1.89,67894.38
1005004,16675,282,1.69,67590.78
3601344,9070,162,1.79,67407.57
1005166,28136,233,0.83,67190.8
2700984,11546,118,1.02,66839.44
1307401,18183,226,1.24,66780.23
1004574,13453,118,0.88,66697.64
22700078,23815,374,1.57,66073.86
5100575,6214,146,2.35,65967.6
1201465,16918,277,1.64,65751.71
26300354,5823,84,1.44,65688.0
2701305,15489,121,0.78,65676.73
1004934,21436,320,1.49,65628.56
17200570,22916,143,0.62,65472.55
1801581,12634,164,1.3,65444.1
1004887,20697,486,2.35,64877.75
1307583,6860,72,1.05,64738.35
5801656,17643,487,2.76,64145.35
5100563,16251,237,1.46,64027.09
3601124,11590,218,1.88,63727.88
1800930,13182,192,1.46,63721.58
3701134,28969,624,2.15,63512.5
1003965,12887,105,0.81,63318.36
1005128,2496,33,1.32,62541.4
26300088,17291,337,1.95,62456.21
1801806,26790,514,1.92,62287.49
5100570,7470,130,1.74,62246.45
5100856,7349,105,1.43,61809.99
26404006,9927,24,0.24,61733.52
1307480,12942,243,1.88,61722.11
1005157,31119,227,0.73,61614.41
15100337,37437,222,0.59,61514.58
5100861,14769,150,1.02,61376.59
1004792,25689,129,0.5,61343.91
1005007,26505,654,2.47,61339.79
1004850,11981,92,0.77,61093.78
1801513,10178,120,1.18,61010.6
2701706,6248,89,1.42,60911.71
1002101,22514,160,0.71,60765.02
1306571,8738,29,0.33,60425.95
1005021,23656,155,0.66,59992.15
1005016,12163,115,0.95,59902.03
26300355,8232,157,1.91,59042.99
1802009,9256,82,0.89,58763.7
1201567,8222,147,1.79,58761.39
1005134,3243,31,0.96,58593.29
12703494,59551,1410,2.37,58278.36
1004723,18220,461,2.53,58098.58
1003313,2762,63,2.28,58064.23
2201036,11740,171,1.46,58033.01
1004901,12588,105,0.83,57684.63
17200651,18302,126,0.69,57677.58
1005259,13065,129,0.99,57553.15
1306256,14769,172,1.16,57512.1
3700621,31843,504,1.58,57419.05
3601425,12493,243,1.95,57405.05
1004256,7785,68,0.87,57315.11
1480498,1636,25,1.53,57266.5
5100571,6034,126,2.09,57156.57
1004648,9905,92,0.93,57033.16
26400193,14179,224,1.58,56795.2
1307240,18324,147,0.8,56682.63
1004867,12417,119,0.96,56670.79
26300085,7110,102,1.43,56606.94
3900003,17098,488,2.85,56597.1
26300081,9718,129,1.33,56482.65
1004133,24063,399,1.66,56420.97
12709380,62434,1473,2.36,56128.5
1002548,4195,100,2.38,56104.32
1004948,12369,75,0.61,55926.15
1005196,14305,125,0.87,55625.8
2601446,10060,128,1.27,55206.47
3600452,13600,261,1.92,55140.11
2200982,2280,33,1.45,55133.17
1500440,11435,317,2.77,54607.52
1004361,3343,46,1.38,54589.3
1802104,6258,151,2.41,54362.15
2701391,7044,39,0.55,54281.97
1004788,25267,381,1.51,53888.03
1005180,3268,47,1.44,53656.15
1003533,17834,123,0.69,53570.29
2900958,31511,903,2.87,53119.15
26300094,6097,94,1.54,52892.86
1005246,18466,171,0.93,52869.15
1005266,22540,426,1.89,52470.77
1005064,17653,293,1.66,52437.92
5100718,21319,340,1.59,52362.93
1802012,7481,85,1.14,52354.09
22700129,56294,764,1.36,52298.43
2700609,9975,169,1.69,51736.0
1004233,7081,39,0.55,51700.09
2701333,10230,54,0.53,51376.74
26400672,17491,133,0.76,51318.05
1801612,4724,37,0.78,51280.64
8500131,4117,100,2.43,51241.95
2702279,7766,74,0.95,50966.17
1005017,27945,582,2.08,50362.58
3601527,8066,131,1.62,50313.36
3700748,24885,465,1.87,50245.07
1802061,6674,123,1.84,50210.52
26400533,9515,154,1.62,50145.48
2602019,12139,122,1.01,49875.06
3700777,16888,275,1.63,49844.25
3700677,17095,342,2.0,49762.22
3900002,12217,457,3.74,49527.92
14701435,28058,246,0.88,49418.01
1004897,13028,52,0.4,49414.45
1307279,14989,123,0.82,49398.65
2201029,2228,34,1.53,49378.74
1005269,1995,66,3.31,49247.12
1801795,2588,21,0.81,49030.65
100011675,4467,28,0.63,49010.36
3500046,12842,123,0.96,48939.95
8500139,3686,92,2.5,48902.19
3601402,7886,99,1.26,48823.95
1004433,26602,151,0.57,48751.9
1003535,14487,100,0.69,48669.5
1307520,8719,57,0.65,48592.06
1004253,6916,58,0.84,48538.26
16500007,22891,774,3.38,48529.79
1306183,9995,121,1.21,48492.69
2700614,8838,124,1.4,48189.79
12703498,46308,1149,2.48,47704.46
1201292,7142,126,1.76,47570.07
26300108,2900,49,1.69,47500.4
1005162,24834,170,0.68,47396.53
1801848,10140,186,1.83,47347.94
1004949,9566,54,0.56,47324.13
3601424,11242,126,1.12,47161.25
1801772,9591,125,1.3,46940.53
5100857,5179,85,1.64,46701.88
1305996,13474,119,0.88,46625.51
8500141,2910,72,2.47,46433.08
1801955,4998,49,0.98,46414.17
26400678,14543,161,1.11,46332.58
5100573,7606,97,1.28,46042.76
1306832,4907,52,1.06,45945.83
1005070,8509,149,1.75,45736.65
1005192,15148,222,1.47,45658.74
5100567,3538,95,2.69,45621.57
1004946,15664,62,0.4,45619.2
3601472,9864,88,0.89,45614.68
3701005,17726,135,0.76,45563.18
1004228,3964,39,0.98,45504.27
3500009,21224,159,0.75,45482.53
1004944,5715,57,1.0,45402.15
5100919,5124,40,0.78,45396.16
1307574,7504,127,1.69,45341.94
15100106,15240,66,0.43,45092.6
1480393,9918,49,0.49,45018.96
1005151,14904,109,0.73,44842.39
14300026,4619,49,1.06,44838.18
1004748,15982,355,2.22,44807.9
1307523,6837,35,0.51,44765.28
1004575,12945,100,0.77,44665.97
100003514,11074,172,1.55,44269.36
1201505,10530,295,2.8,44262.71
1307062,13597,49,0.36,44240.65
2701286,10720,78,0.73,44156.41
2800594,13381,146,1.09,44105.84
1802127,2238,24,1.07,43980.74
1004573,8249,71,0.86,43964.81
1004990,16931,183,1.08,43960.24
1004244,6704,51,0.76,43916.86
1306952,4429,21,0.47,43829.72
2701985,6196,37,0.6,43809.85
22700068,31789,459,1.44,43805.24
5100565,5351,85,1.59,43733.32
3700912,16314,372,2.28,43616.41
100015658,5539,17,0.31,43562.33
100020507,3152,24,0.76,43553.28
1201460,7250,81,1.12,43428.37
1306830,9927,64,0.64,43418.06
3600231,15710,425,2.71,43386.42
1200957,13208,408,3.09,43138.2
1004965,14160,48,0.34,43088.55
1306609,7997,63,0.79,43005.79
1004236,1736,32,1.84,42887.13
8801100,42641,443,1.04,42787.69
4803771,10095,115,1.14,42756.43
1307406,6417,75,1.17,42752.94
17200559,12942,73,0.56,42736.62
1005288,15648,163,1.04,42611.15
26300188,3217,60,1.87,42580.2
1801860,10669,220,2.06,42401.75
1600587,6568,208,3.17,42394.42
9600124,4934,26,0.53,42315.23
1801938,3208,29,0.9,42041.94
100009754,14925,191,1.28,42025.88
1002628,4541,104,2.29,41958.69
1005207,2372,107,4.51,41905.73
26800025,10019,73,0.73,41903.46
3600990,12748,192,1.51,41782.09
2201023,1735,20,1.15,41694.8
15700176,22144,169,0.76,41472.35
1801896,4226,52,1.23,41431.69
1500082,2906,60,2.06,41382.07
17300355,13014,183,1.41,41280.45
15100034,12759,127,1.0,41255.21
26300101,11256,239,2.12,41158.19
1004564,21207,321,1.51,41145.93
1480492,13671,16,0.12,41141.32
1801963,7512,117,1.56,41130.18
1802033,17510,266,1.52,40994.71
1307044,8980,91,1.01,40667.94
3700709,21536,348,1.62,40495.99
26400266,23332,339,1.45,40402.02
1307568,6415,76,1.18,40401.53
1005264,12392,221,1.78,40331.71
1005279,6741,58,0.86,40241.84
1801762,12112,194,1.6,40209.92
26300086,10711,166,1.55,40123.86
4100300,3148,63,2.0,40001.11
1005167,18144,136,0.75,39930.5
3700566,10716,105,0.98,39915.51
2601810,19259,254,1.32,39858.69
5701166,25911,274,1.06,39486.33
15100145,17440,103,0.59,39324.59
2601500,18843,329,1.75,39262.0
12702930,40701,1076,2.64,39078.41
5100376,34757,566,1.63,38983.92
3700869,15187,419,2.76,38625.06
1802057,2695,15,0.56,38607.5
1307464,2305,23,1.0,38585.7
6000004,16355,274,1.68,38571.07
2701879,10316,131,1.27,38488.52
2702050,7804,77,0.99,38429.28
1201466,9827,162,1.65,38354.97
26400634,8067,85,1.05,38070.65
2702628,12232,223,1.82,38037.85
26300353,9652,222,2.3,37715.58
1802036,6756,117,1.73,37602.72
15100370,15547,134,0.86,37598.38
2701306,9240,73,0.79,37574.59
26800064,8464,81,0.96,37508.67
26300076,11943,173,1.45,37317.83
3600253,12074,391,3.24,37261.81
1480740,7628,26,0.34,37210.16
1307096,9912,101,1.02,37193.95
26300105,3806,53,1.39,37094.17
3601127,7473,115,1.54,36998.95
3700554,5139,45,0.88,36965.3
1005223,12660,180,1.42,36963.07
1004650,8572,59,0.69,36951.15
1005066,16489,169,1.02,36782.35
2700856,6104,94,1.54,36738.15
1307509,4509,27,0.6,36663.18
2900090,13848,357,2.58,36602.85
5100721,18836,205,1.09,36494.49
2800638,13789,175,1.27,36354.72
26300077,7567,153,2.02,36311.49
1005023,8281,97,1.17,36261.46
26400759,7595,83,1.09,36256.06
1307074,7514,48,0.64,36253.22
2900022,12490,287,2.3,36186.59
1004159,8122,38,0.47,35999.84
1307457,5784,41,0.71,35834.15
1802116,1734,26,1.5,35814.81
5100874,8749,117,1.34,35711.06
26400291,15252,178,1.17,35646.28
1005164,12871,128,0.99,35583.05
17200728,15540,46,0.3,35582.75
6000229,12728,253,1.99,35479.89
12707153,36623,1085,2.96,35468.65
26400293,7065,156,2.21,35176.44
1201472,8697,75,0.86,35171.1
100011713,5871,21,0.36,35135.94
1307344,6652,65,0.98,35134.45
1005289,8166,44,0.54,35109.36
7003167,3588,18,0.5,35084.26
1307075,8488,49,0.58,35060.52
3701003,6879,103,1.5,35040.84
1307035,6690,35,0.52,34970.39
2800505,17033,169,0.99,34852.34
2701639,10860,138,1.27,34726.68
1307052,3064,22,0.72,34651.3
1801785,9360,83,0.89,34630.0
3700039,11623,186,1.6,34612.42
1003549,16473,85,0.52,34573.31
1005260,9332,49,0.53,34516.85
1005287,15558,131,0.84,34456.3
1304297,3930,33,0.84,34236.57
2700618,7485,97,1.3,34234.2
100002235,10705,74,0.69,34164.32
1004657,10297,43,0.42,34126.69
3601244,10404,88,0.85,34111.66
22700202,15892,195,1.23,34041.85
3601000,4448,43,0.97,33999.67
1802080,4250,80,1.88,33892.7
14300048,4203,58,1.38,33793.34
4600007,7337,62,0.85,33746.11
2701627,3379,18,0.53,33690.65
2702063,7349,52,0.71,33398.96
3500306,4704,31,0.66,33384.78
1005232,18036,290,1.61,33369.72
1004436,15891,170,1.07,33354.07
1801712,9985,83,0.83,33349.25
16400204,17674,184,1.04,33342.64
1004905,14858,311,2.09,33296.82
2702580,5460,43,0.79,33234.92
1801382,7422,63,0.85,33223.31
1004358,2079,24,1.15,33214.49
1005033,5392,89,1.65,33182.02
22700127,20356,329,1.62,33035.45
26300083,5901,70,1.19,33028.1
3600165,15655,190,1.21,32973.31
1801924,1548,18,1.16,32944.31
17300136,28277,318,1.12,32932.53
26400304,8420,112,1.33,32894.4
12703493,21896,796,3.64,32888.91
1801967,4097,69,1.68,32883.79
1307184,6560,40,0.61,32872.88
2800628,9443,148,1.57,32845.68
26300104,3513,51,1.45,32753.73
1801974,3620,45,1.24,32669.64
